wavelength_ILAM(I),scattered_SLAM(I),molecular_TR(I),aerosol_TA(I),ozone_TO(I),water_TW(I)
290,48.2,1.41,0.42,11.5,0
295,58.4,1.31,0.415,6.3,0
300,51.4,1.23,0.412,3.2,0
305,60.2,1.14,0.408,1.62,0
310,68.6,1.05,0.404,0.83,0
315,75.7,0.99,0.4,0.44,0
320,81.9,0.92,0.395,0.26,0
330,103.7,0.81,0.388,0.03,0
340,105,0.72,0.379,0.02,0
350,107.4,0.63,0.379,0.01,0
360,105.5,0.56,0.379,0,0
370,117.3,0.5,0.375,0,0
380,111.7,0.45,0.365,0,0
390,109.9,0.4,0.345,0,0
400,143.3,0.36,0.314,0,0
420,175.8,0.3,0.3,0,0
440,182.3,0.25,0.288,0,0
460,208,0.2,0.28,0,0
480,208.5,0.17,0.273,0,0
500,194.6,0.15,0.264,0,0
520,183.3,0.12,0.258,0,0
540,178.3,0.1,0.253,0,0
560,169.5,0.09,0.248,0,0
580,170.5,0.08,0.243,0,0
600,164.6,0.07,0.236,0,0
620,157.6,0.06,0.232,0,0
640,151.7,0.06,0.227,0,0
660,146.8,0.05,0.223,0,0
680,141.8,0.04,0.217,0,0
700,136.9,0.04,0.213,0,0
720,131.4,0.03,0.21,0,0
740,126,0.03,0.208,0,0
760,120,0.03,0.205,0,0
780,115,0.02,0.202,0,0
800,110.7,0.02,0.201,0,0
820,105,0.02,0.198,0,0
840,100,0.02,0.195,0,0
860,95,0.01,0.193,0,0
880,91,0.01,0.191,0,0.123
900,88,0.01,0.19,0,0.117
920,85,0.01,0.188,0,0.1
940,83,0.01,0.186,0,0.23
960,80,0,0.184,0,0.174
980,77,0,0.183,0,0.058
1000,75,0,0.182,0,0
1020,70,0,0.181,0,0.024
1080,61,0,0.178,0,0.027
1100,59,0,0.177,0,0.036
1120,56,0,0.176,0,0.215
1140,54,0,0.175,0,0.25
1160,51,0,0.175,0,0.136
1180,49,0,0.174,0,0.058
1200,48,0,0.173,0,0.047
1220,45,0,0.172,0,0.036
1240,42,0,0.171,0,0.042
1260,41,0,0.17,0,0.098
1280,40,0,0.169,0,0.044
1300,39,0,0.168,0,0
1320,38,0,0.167,0,0.038
1380,34,0,0.164,0,0.83
1400,33,0,0.163,0,0
1420,32,0,0.163,0,0
1440,31,0,0.162,0,0.38
1460,30,0,0.161,0,0.289
1480,29,0,0.161,0,0.258
1500,28,0,0.16,0,0.173
1540,26,0,0.159,0,0.008
1580,25,0,0.157,0,0
1600,24,0,0.156,0,0
1620,24,0,0.156,0,0
1640,23,0,0.155,0,0
1660,22,0,0.154,0,0
1700,21,0,0.153,0,0
1720,19,0,0.152,0,0
1780,16,0,0.15,0,0
1800,15,0,0.149,0,0.57
1860,12,0,0.146,0,0.76
1900,11,0,0.145,0,0
1950,10.7,0,0.142,0,0.185
2000,10.3,0,0.14,0,0.291
2020,10,0,0.139,0,0.178
2050,9.7,0,0.137,0,0.196
2100,9,0,0.135,0,0.112
2120,8.8,0,0.135,0,0.075
2150,8.5,0,0.133,0,0.074
2200,7.9,0,0.132,0,0.07
2260,7.4,0,0.131,0,0.007
2300,6.8,0,0.13,0,0
2320,6.7,0,0.13,0,0
2350,6.6,0,0.129,0,0
2380,6.5,0,0.129,0,0.086
2400,6.4,0,0.128,0,0.122
2420,6.2,0,0.128,0,0.132
2450,5.9,0,0.128,0,0.14
2490,5.5,0,0.127,0,0.207
2500,5.4,0,0.127,0,0.259
2600,4.8,0,0.126,0,0
2700,4.3,0,0.125,0,0
2800,3.9,0,0.124,0,0
2900,3.5,0,0.123,0,0.549
3000,3.1,0,0.121,0,0.297
3100,2.6,0,0.118,0,0.462
3200,2.3,0,0.117,0,0.52
3300,1.9,0,0.115,0,0.374
3400,1.7,0,0.113,0,0.222
3500,1.5,0,0.11,0,0.614
3600,1.4,0,0.108,0,0.058
3700,1.2,0,0.107,0,0.038
3800,1.1,0,0.105,0,0.03
3900,1,0,0.103,0,0.04
4000,1,0,0.1,0,0.16
