Molality,0,5,10,15,20,25,30,35,40
0.05,-214,-218,-222,-225,-229,-233,-237,-241,-245
0.1,-412,-429,-436,-444,-452,-459,-467,-474,-482
0.15,-625,-637,-648,-660,-671,-683,-694,-705,-716
0.2,-827,-843,-849,-874,-890,-905,-920,-935,-949
0.25,-1029,-1049,-1068,-1087,-1107,-1126,-1145,-1164,-1182
0.3,-1229,-1253,-1277,-1300,-1324,-1347,-1370,-1392,-1414
0.35,-1429,-1457,-1485,-1512,-1540,-1568,-1594,-1620,-1646
0.4,-1628,-1661,-1693,-1724,-1757,-1788,-1819,-1849,-1879
0.45,-1826,-1864,-1901,-1936,-1973,-2009,-2043,-2077,-2111
0.5,-2025,-2067,-2108,-2148,-2190,-2230,-2268,-2306,-2344
0.55,-2222,-2270,-2316,-2360,-2400,-2451,-2493,-2536,-2578
0.6,-2420,-2473,-2523,-2572,-2623,-2672,-2719,-2765,-2811
0.65,-2617,-2675,-2731,-2784,-2840,-2894,-2945,-2995,-3046
0.7,-2814,-2878,-2938,-2996,-3057,-3116,-3171,-3226,-3280
0.75,-3012,-3080,-3146,-3208,-3274,-3338,-3398,-3457,-3516
0.8,-3208,-3283,-3353,-3421,-3292,-3561,-3625,-3688,-3752
0.85,-3405,-3485,-3561,-3633,-3710,-3784,-3852,-3920,-3988
0.9,-3601,-3687,-3769,-3846,-3928,-4007,-4080,-4153,-4225
0.95,-3797,-3889,-3972,-4059,-4147,-4231,-4309,-4386,-4463
1,-3993,-4092,-4185,-4272,-4366,-4455,-4538,-4620,-2702
